id	sex	age	height	weight
1	M	20	175	77
2	F	25	160	50
3	F	23	155	45
4	F	24	160	46
5	M	24	170	70
6	M	23	170	55
7	F	23	160	44
8	F	25	165	60
9	M	23	180	112
10	M	22	190	102
11	F	21	165	47
12	F	24	163	52
13	F	22	160	48
14	F	25	168	52
15	M	26	171	58
16	M	22	163	60
17	M	25	179	60
18	M	21	175	70
19	M	25	185	92
20	F	30	161	49
21	F	21	165	53
22	F	24	173	52
23	F	27	169	60
24	F	25	170	52
25	M	26	180	98
26	M	22	170	94
27	M	28	176	112
28	M	21	175	92
29	M	25	185	121
30	F	23	161	44
31	F	21	160	39
32	F	24	152	40
33	F	22	160	44
34	F	25	169	60
35	M	26	171	52
36	M	22	198	80
37	M	25	188	130
38	M	21	162	52
39	M	25	180	72
40	F	23	159	42
